,Primos,No_Primos,Pares,Primos_NoPrimos,NoPrimos_Primos,Aleatorio
0,32452867,32452859,32452868,32537783,32538685,32537783
1,32452883,32452871,32452884,32510837,32538673,32510837
2,32452909,32452905,32452910,32504795,32538671,32504795
3,32452919,32452919,32452920,32454305,32538625,32454305
4,32452921,32452883,32452922,32517869,32538635,32517869
5,32452997,32452991,32452998,32512771,32538629,32512771
6,32453011,32453007,32453012,32474087,32538613,32474087
7,32453021,32453019,32453022,32490907,32538611,32490907
8,32453027,32453021,32453028,32471657,32538595,32471657
9,32453039,32453019,32453040,32503489,32538583,32503489
10,32453081,32453079,32453082,32521591,32538551,32521591
11,32453087,32453081,32453088,32483989,32538555,32483989
12,32453101,32453091,32453102,32512561,32538521,32512561
13,32453123,32453121,32453124,32509951,32538501,32509951
14,32453129,32453121,32453130,32532011,32538491,32532011
15,32453147,32453147,32453148,32503663,32538471,32503663
16,32453149,32453141,32453150,32499109,32538419,32499109
17,32453167,32453165,32453168,32464121,32538431,32464121
18,32453173,32453165,32453174,32531677,32538425,32531677
19,32453191,32453185,32453192,32537903,32538415,32537903
20,32453203,32453201,32453204,32535199,32538411,32535199
21,32453209,32453189,32453210,32482719,32538407,32482719
22,32453251,32453249,32453252,32513317,32538401,32513317
23,32453257,32453251,32453258,32466559,32538373,32466559
24,32453269,32453261,32453270,32495447,32538359,32495447
25,32453287,32453285,32453288,32468119,32538337,32468119
26,32453293,32453291,32453294,32502635,32538321,32502635
27,32453297,32453285,32453298,32535307,32538287,32535307
28,32453321,32453319,32453322,32458487,32538299,32458487
29,32453327,32453321,32453328,32473805,32538257,32473805
30,32453339,32453333,32453340,32513045,32538259,32513045
31,32453353,32453345,32453354,32454221,32538255,32454221
32,32453371,32453357,32453372,32480005,32538189,32480005
33,32453401,32453393,32453402,32480587,32538191,32480587
34,32453419,32453417,32453420,32512015,32538171,32512015
35,32453423,32453421,32453424,32516591,32538161,32516591
36,32453429,32453429,32453430,32519011,32538143,32519011
37,32453431,32453427,32453432,32476823,32538133,32476823
38,32453441,32453429,32453442,32470149,32538083,32470149
39,32453467,32453457,32453468,32456623,32538087,32456623
40,32453489,32453477,32453490,32520365,32538065,32520365
41,32453513,32453509,32453514,32483709,32538065,32483709
42,32453521,32453501,32453522,32520107,32538037,32520107
43,32453563,32453559,32453564,32484139,32538041,32484139
44,32453573,32453571,32453574,32476667,32538041,32476667
45,32453579,32453575,32453580,32515797,32538009,32515797
46,32453587,32453577,32453588,32461965,32538001,32461965
47,32453609,32453597,32453610,32460809,32537999,32460809
48,32453633,32453621,32453634,32517035,32537989,32517035
49,32453657,32453647,32453658,32530513,32537969,32530513
50,32453677,32453661,32453678,32498813,32537957,32498813
51,32453711,32453705,32453712,32455273,32537913,32455273
52,32453723,32453711,32453724,32473481,32537927,32473481
53,32453749,32453729,32453750,32525117,32537891,32525117
54,32453791,32453787,32453792,32538407,32537885,32538407
55,32453801,32453801,32453802,32518335,32537865,32518335
56,32453803,32453789,32453804,32529701,32537859,32529701
57,32453831,32453819,32453832,32463101,32537843,32463101
58,32453857,32453839,32453858,32457053,32537805,32457053
59,32453893,32453885,32453894,32503421,32537801,32503421
